Ensembl Gene ID	Band
ENSG00000200991	q25.3
ENSG00000278222	q11.2
ENSG00000199712	q11.2
ENSG00000252931	q25.3
ENSG00000221247	q25.2
ENSG00000207964	q21.3
ENSG00000206957	q21.1
ENSG00000266349	q22.2
ENSG00000266143	q21.1
ENSG00000202542	q21.1
ENSG00000281169	q23
ENSG00000221000	q11.2
ENSG00000276955	q13.1
ENSG00000272460	q11.2
ENSG00000200638	q11.2
ENSG00000238845	q21.1
ENSG00000275776	q13.3
ENSG00000277243	q11.2
ENSG00000201634	q11.2
ENSG00000203411	q24.2
ENSG00000275702	q15.3
ENSG00000212063	q26.1
ENSG00000221444	q13.3
ENSG00000281647	q14
ENSG00000252171	q21.1
ENSG00000200163	q11.2
ENSG00000201086	q21.2
ENSG00000280933	q25.2
ENSG00000207174	q11.2
ENSG00000263964	q13.1
ENSG00000202081	q25.3
ENSG00000241175	q21.2
ENSG00000207257	q13.3
ENSG00000277785	q11.2
ENSG00000206991	q15.3
ENSG00000221379	q13.2
ENSG00000275529	q11.2
ENSG00000266543	q25.1
ENSG00000252614	q26.3
ENSG00000199580	q24.2
ENSG00000252964	q25.3
ENSG00000266697	q25.2
ENSG00000252972	q23
ENSG00000206995	q21.2
ENSG00000273653	q22.2
ENSG00000266374	q23
ENSG00000252475	q21.1
ENSG00000202188	q11.2
ENSG00000281328	q22.31
ENSG00000274216	q14
ENSG00000241807	q24.2
ENSG00000221634	q25.3
ENSG00000243568	q23
ENSG00000207137	q11.2
ENSG00000261632	q23
ENSG00000212526	q13.3
ENSG00000221723	q13.2
ENSG00000200206	q25.3
ENSG00000275451	q22.2
ENSG00000206987	q13.3
ENSG00000277582	q25.3
ENSG00000140254	q21.1
ENSG00000239471	q11.1
ENSG00000275460	q25.1
ENSG00000252645	q26.1
ENSG00000276844	q11.2
ENSG00000207712	q15.1
ENSG00000238607	q13.1
ENSG00000280998	q13.2
ENSG00000200095	q26.3
ENSG00000200564	q11.2
ENSG00000212380	q11.2
ENSG00000238340	q13.1
ENSG00000200293	q15.1
ENSG00000207289	q11.2
ENSG00000276376	q26.1
ENSG00000265047	q23
ENSG00000264966	q26.1
ENSG00000221792	q15.3
ENSG00000212511	q14
ENSG00000274350	q24.1
ENSG00000281795	q14
ENSG00000265322	q11.2
ENSG00000252995	q25.1
ENSG00000221405	q13.3
ENSG00000273835	q11.2
ENSG00000207375	q11.2
ENSG00000202261	q11.2
ENSG00000261581	q13.1
ENSG00000252957	q26.3
ENSG00000200757	q11.2
ENSG00000275411	q24.1
ENSG00000201482	q11.2
ENSG00000280965	q26.1
ENSG00000271819	q21.2
ENSG00000244056	q25.2
ENSG00000199673	q22.31
ENSG00000207636	q24.2
ENSG00000207133	q11.2
ENSG00000264779	q23
ENSG00000276713	q22.2
ENSG00000243338	q21.1
ENSG00000273981	q11.2
ENSG00000252868	q13.1
ENSG00000211519	q21.1
ENSG00000203573	q15.1
ENSG00000264771	q26.3
ENSG00000200216	q23
ENSG00000280903	q15.1
ENSG00000266449	q24.3
ENSG00000199568	q22.31
ENSG00000167196	q24.2
ENSG00000278497	q11.2
ENSG00000252288	q21.1
ENSG00000200252	q22.2
ENSG00000281355	q12
ENSG00000200008	q14
ENSG00000221511	q26.3
ENSG00000281816	q25.1
ENSG00000265942	q21.1
ENSG00000241588	q26.3
ENSG00000222311	q21.1
ENSG00000212528	q11.2
ENSG00000243027	q21.2
ENSG00000252722	q24.2
ENSG00000238870	q23
ENSG00000206590	q26.1
ENSG00000274728	q11.2
ENSG00000200120	q21.1
ENSG00000207690	q24.1
ENSG00000200605	q21.2
ENSG00000280771	q21.1
ENSG00000277779	q22.2
ENSG00000243059	q11.2
ENSG00000265793	q11.2
ENSG00000240927	q26.3
ENSG00000276891	q13.1
ENSG00000199968	q11.2
ENSG00000278098	q21.2
ENSG00000264173	q26.1
ENSG00000266205	q14
ENSG00000222139	q25.1
ENSG00000207263	q11.2
ENSG00000199704	q11.2
ENSG00000265855	q25.1
ENSG00000206609	q11.2
ENSG00000201724	q26.3
ENSG00000259265	q23
ENSG00000200623	q22.31
ENSG00000200305	q15.1
ENSG00000239703	q21.3
ENSG00000241774	q23
ENSG00000275803	q26.1
ENSG00000240847	q15.1
ENSG00000199833	q11.2
ENSG00000277677	q21.2
ENSG00000266542	q25.1
ENSG00000266593	q21.2
ENSG00000274013	q24.1
ENSG00000207162	q22.31
ENSG00000238783	q13.2
ENSG00000279084	q15.1
ENSG00000239035	q21.3
ENSG00000200318	q21.3
ENSG00000264109	q21.2
ENSG00000265673	q11.2
ENSG00000239151	q26.1
ENSG00000239022	q25.1
ENSG00000212022	q26.2
ENSG00000266308	q24.2
ENSG00000104140	q15.1
ENSG00000221065	q14
ENSG00000274096	q23
ENSG00000252376	q21.2
ENSG00000263643	q25.2
ENSG00000200503	q11.2
ENSG00000277464	q13.3
ENSG00000200398	q11.2
ENSG00000273851	q23
ENSG00000252277	q11.2
ENSG00000223253	q23
ENSG00000252061	q25.1
ENSG00000207703	q26.1
ENSG00000263512	q22.31
ENSG00000222361	q26.3
ENSG00000238311	q22.31
ENSG00000200790	q11.2
ENSG00000211137	q22.2
ENSG00000264902	q11.2
ENSG00000199489	q11.2
ENSG00000200677	q26.1
ENSG00000277637	q13.2
ENSG00000242863	q26.2
ENSG00000206846	q13.2
ENSG00000238489	q11.2
ENSG00000202373	q11.2
ENSG00000222409	q26.2
ENSG00000223180	q25.2
ENSG00000207965	q23
ENSG00000207766	q15.1
ENSG00000258484	q23
ENSG00000200156	q22.31
ENSG00000280753	q25.2
ENSG00000207695	q25.1
ENSG00000201241	q11.1
ENSG00000276941	q11.2
ENSG00000279735	q11.2
ENSG00000200407	q15.1
ENSG00000264386	q24.1
ENSG00000207702	q13.3
ENSG00000200486	q11.2
ENSG00000196274	q24.2
ENSG00000264480	q26.3
ENSG00000276198	q15.1
ENSG00000199784	q21.3
ENSG00000207395	q23
ENSG00000281061	q24.2
ENSG00000207197	q11.2
ENSG00000238456	q21.1
ENSG00000199970	q11.2
ENSG00000206972	q13.2
ENSG00000207442	q11.2
ENSG00000200326	q12
ENSG00000265814	q15.1
ENSG00000222651	q26.2
ENSG00000275127	q11.2
ENSG00000238519	q13.2
ENSG00000277814	q26.3
ENSG00000207432	q13.2
ENSG00000275876	q11.2
ENSG00000252217	q22.31
ENSG00000201969	q11.2
ENSG00000223120	q26.2
ENSG00000199311	q11.2
ENSG00000221593	q13.2
ENSG00000207063	q11.2
ENSG00000221785	q13.2
ENSG00000273690	q15.2
ENSG00000278089	q11.2
ENSG00000222343	q21.1
ENSG00000273531	q25.2
ENSG00000222076	q26.2
ENSG00000277295	q24.2
ENSG00000277864	q25.2
ENSG00000201077	q15.1
ENSG00000264210	q21.1
ENSG00000273699	q11.2
ENSG00000266517	q12
ENSG00000274076	q13.3
ENSG00000201143	q11.2
ENSG00000264850	q15.1
ENSG00000200812	q11.2
ENSG00000252425	q14
ENSG00000238478	q11.2
ENSG00000275847	q12
ENSG00000277467	q13.2
ENSG00000281318	q22.31
ENSG00000212625	q22.2
ENSG00000266545	q11.2
ENSG00000212306	q26.3
ENSG00000137808	q23
ENSG00000277515	q11.2
ENSG00000207091	q14
ENSG00000221033	q22.31
ENSG00000274913	q26.3
ENSG00000276314	q11.2
ENSG00000252714	q15.1
ENSG00000278785	q25.2
ENSG00000221050	q13.1
ENSG00000238941	q21.1
ENSG00000207093	q11.2
ENSG00000221630	q26.1
ENSG00000138604	q23
ENSG00000238737	q11.2
ENSG00000275449	q26.3
ENSG00000221376	q23
ENSG00000207245	q11.2
ENSG00000201084	q13.3
ENSG00000140350	q23
ENSG00000278123	q11.2
ENSG00000201326	q11.2
ENSG00000200419	q21.1
ENSG00000221358	q13.2
ENSG00000239197	q26.1
ENSG00000223271	q22.31
ENSG00000207037	q25.3
ENSG00000200680	q11.2
ENSG00000206616	q11.2
ENSG00000207014	q11.2
ENSG00000199782	q11.2
ENSG00000200987	q11.2
ENSG00000200801	q11.2
ENSG00000200478	q11.2
ENSG00000222094	q23
ENSG00000206727	q11.2
ENSG00000201943	q11.2
ENSG00000215983	q26.2
ENSG00000221354	q11.2
ENSG00000253030	q22.2
ENSG00000221266	q25.3
ENSG00000273818	q13.2
ENSG00000221649	q14
ENSG00000274079	q26.2
ENSG00000207430	q13.2
ENSG00000277031	q13.2
ENSG00000239169	q11.2
ENSG00000201136	q15.3
ENSG00000166664	q13.2
ENSG00000202499	q11.2
ENSG00000207460	q11.2
ENSG00000200391	q15.3
ENSG00000265871	q26.1
ENSG00000199633	q25.1
ENSG00000222617	q26.2
ENSG00000277391	q24.1
ENSG00000273798	q24.2
ENSG00000251819	q26.3
ENSG00000239014	q11.2
ENSG00000276610	q11.2
ENSG00000221052	q21.2
ENSG00000222123	q12
ENSG00000221691	q26.3
ENSG00000200726	q11.2
ENSG00000197299	q26.1
ENSG00000201300	q11.2
ENSG00000222064	q24.1
ENSG00000212415	q13.3
ENSG00000274640	q11.2
ENSG00000277202	q14
ENSG00000276648	q25.3
ENSG00000221318	q13.3
ENSG00000199730	q21.3
ENSG00000264737	q22.31
ENSG00000264256	q15.1
ENSG00000240470	q26.1
ENSG00000201907	q11.2
ENSG00000200593	q11.2
ENSG00000221641	q11.2
ENSG00000277919	q22.2
ENSG00000207449	q22.31
ENSG00000221095	q25.2
ENSG00000275992	q24.2
ENSG00000251891	q25.3
ENSG00000272337	q21.2
ENSG00000206903	q22.31
ENSG00000252326	q11.2
ENSG00000212604	q12
ENSG00000252117	q21.1
ENSG00000275524	q11.2
ENSG00000201510	q24.3
ENSG00000202529	q22.31
ENSG00000278439	q22.1
ENSG00000207001	q11.2
ENSG00000264950	q24.2
ENSG00000212424	q21.1
ENSG00000199574	q22.31
ENSG00000206676	q14
ENSG00000201704	q22.2
ENSG00000278604	q24.1
ENSG00000207105	q21.1
ENSG00000212428	q11.2
ENSG00000275690	q26.3
ENSG00000264406	q25.3
ENSG00000251729	q26.2
ENSG00000242066	q24.3
ENSG00000278715	q11.2
ENSG00000103657	q22.31
ENSG00000207279	q11.2
ENSG00000200873	q23
ENSG00000200444	q25.2
ENSG00000200661	q11.2
ENSG00000202211	q15.2
ENSG00000206625	q23
ENSG00000223308	q21.1
ENSG00000238819	q21.1
ENSG00000265102	q14
ENSG00000207119	q23
ENSG00000238347	q11.2
ENSG00000206849	q13.3
ENSG00000243365	q24.3
ENSG00000212170	q25.2
ENSG00000279808	q15.3
ENSG00000252712	q22.31
ENSG00000275174	q11.2
ENSG00000276038	q11.2
ENSG00000221250	q13.2
ENSG00000277841	q11.2
ENSG00000279588	q26.3
ENSG00000265002	q11.1
ENSG00000199156	q22.31
ENSG00000221476	q25.1
ENSG00000280730	q24.3
ENSG00000251815	q11.2
ENSG00000200142	q26.1
ENSG00000281239	q25.3
ENSG00000212374	q25.2
ENSG00000092531	q15.1
ENSG00000208003	q25.1
ENSG00000222586	q21.3
ENSG00000281124	q15.2
ENSG00000274568	q11.2
ENSG00000201992	q11.2
ENSG00000265866	q26.1
ENSG00000222521	q25.2
ENSG00000281635	q26.3
ENSG00000221008	q25.2
ENSG00000281873	q11.2
ENSG00000103932	q15.1
ENSG00000153684	q13.1
ENSG00000279145	q21.3
ENSG00000169375	q24.2
ENSG00000201831	q11.2
ENSG00000252774	q22.31
ENSG00000241869	q26.1
ENSG00000261794	q13.2
ENSG00000266039	q13.1
ENSG00000274496	q24.2
ENSG00000259790	q24.2
ENSG00000200949	q11.2
ENSG00000200070	q22.2
ENSG00000277413	q22.2
ENSG00000243871	q15.3
ENSG00000201679	q11.2
ENSG00000201331	q11.2
ENSG00000274632	q13.1
ENSG00000212388	q25.3
ENSG00000212279	q24.1
ENSG00000279639	q11.2
ENSG00000260586	q23
ENSG00000212664	q23
ENSG00000199453	q11.2
ENSG00000223313	q15.1
ENSG00000259964	q23
ENSG00000266589	q22.31
ENSG00000278408	q23
ENSG00000279408	q11.2
ENSG00000225362	q23
ENSG00000261279	q13.3
ENSG00000280709	q11.2
ENSG00000182974	q11.2
ENSG00000280724	q11.2
ENSG00000276696	q21.3
ENSG00000221141	q22.2
ENSG00000279937	q15.1
ENSG00000271333	q13.2
ENSG00000249931	q13.3
ENSG00000175344	q13.3
ENSG00000259697	q22.2
ENSG00000259361	q25.1
ENSG00000187720	q23
ENSG00000259707	q25.2
ENSG00000215567	q11.1
ENSG00000259356	q26.3
ENSG00000254744	q26.3
ENSG00000207516	q21.1
ENSG00000206656	q11.2
ENSG00000259744	q23
ENSG00000259470	q23
ENSG00000129028	q23
ENSG00000278348	q24.1
ENSG00000259286	q23
ENSG00000207223	q22.31
ENSG00000169330	q25.1
ENSG00000259493	q25.1
ENSG00000166173	q23
ENSG00000280076	q26.1
ENSG00000261529	q11.2
ENSG00000258888	q26.1
ENSG00000258971	q26.1
ENSG00000259416	q25.3
ENSG00000184277	q26.3
ENSG00000183655	q25.3
ENSG00000259805	q25.2
ENSG00000261244	q24.3
ENSG00000260776	q24.3
ENSG00000128928	q15.1
ENSG00000261219	q21.3
ENSG00000259581	q24.2
ENSG00000103647	q23
ENSG00000103942	q25.2
ENSG00000214575	q25.2
ENSG00000263155	q21.3
ENSG00000259752	q21.1
ENSG00000169758	q24.2
ENSG00000137821	q23
ENSG00000259208	q25.1
ENSG00000223572	q15.3
ENSG00000260674	q25.1
ENSG00000213527	q25.1
ENSG00000185033	q26.1
ENSG00000259589	q22.31
ENSG00000270246	q11.2
ENSG00000257647	q11.2
ENSG00000259229	q25.1
ENSG00000261069	q11.2
ENSG00000280118	q11.2
ENSG00000259195	q25.3
ENSG00000224078	q11.2
ENSG00000128951	q21.1
ENSG00000215304	q13.3
ENSG00000259548	q25.1
ENSG00000259917	q14
ENSG00000166965	q26.1
ENSG00000258787	q26.1
ENSG00000257060	q26.1
ENSG00000259705	q21.1
ENSG00000259668	q21.2
ENSG00000259678	q21.2
ENSG00000259814	q13.1
ENSG00000171766	q21.1
ENSG00000259236	q26.3
ENSG00000259660	q26.3
ENSG00000068305	q26.3
ENSG00000273747	q25.2
ENSG00000169612	q25.2
ENSG00000104093	q21.2
ENSG00000273925	q21.1
ENSG00000259446	q13.3
ENSG00000280564	q24.2
ENSG00000136383	q25.3
ENSG00000250379	q15.1
ENSG00000261559	q14
ENSG00000278582	q14
ENSG00000198146	q14
ENSG00000250007	q14
ENSG00000281269	q15.2
ENSG00000240238	q22.2
ENSG00000258909	q26.1
ENSG00000263070	q13.2
ENSG00000259232	q22.31
ENSG00000279394	q25.1
ENSG00000180953	q25.1
ENSG00000069974	q21.3
ENSG00000260928	q15.2
ENSG00000261687	q15.2
ENSG00000279364	q14
ENSG00000205871	q15.2
ENSG00000259781	q23
ENSG00000166947	q15.2
ENSG00000258654	q11.1
ENSG00000259445	q25.2
ENSG00000278600	q25.1
ENSG00000259332	q25.1
ENSG00000261229	q25.1
ENSG00000159251	q14
ENSG00000275672	q21.1
ENSG00000259622	q25.2
ENSG00000259767	q25.2
ENSG00000259642	q25.1
ENSG00000136371	q25.1
ENSG00000064726	q25.2
ENSG00000270055	q13.2
ENSG00000215302	q13.2
ENSG00000261543	q24.1
ENSG00000129009	q24.1
ENSG00000258628	q11.1
ENSG00000261792	q13.2
ENSG00000185518	q26.1
ENSG00000174450	q11.2
ENSG00000259198	q15.1
ENSG00000244705	q15.1
ENSG00000270036	q24.3
ENSG00000259187	q21.1
ENSG00000259479	q21.1
ENSG00000186297	q12
ENSG00000174498	q22.31
ENSG00000255571	q26.1
ENSG00000259478	q26.2
ENSG00000258483	q26.3
ENSG00000259331	q26.2
ENSG00000157823	q26.1
ENSG00000258433	q26.2
ENSG00000277654	q26.2
ENSG00000258773	q26.2
ENSG00000270017	q26.2
ENSG00000260521	q26.2
ENSG00000279050	q11.2
ENSG00000280234	q11.2
ENSG00000214265	q11.2
ENSG00000257151	q11.2
ENSG00000172345	q25.1
ENSG00000258916	q11.2
ENSG00000258707	q11.2
ENSG00000280817	q21.2
ENSG00000140451	q22.31
ENSG00000259395	q14
ENSG00000275343	q21.3
ENSG00000259743	q21.1
ENSG00000259772	q13.3
ENSG00000259448	q13.3
ENSG00000261365	q13.1
ENSG00000178997	q15.1
ENSG00000277755	q11.2
ENSG00000270685	q11.2
ENSG00000259737	q14
ENSG00000237850	q13.1
ENSG00000128739	q11.2
ENSG00000259469	q21.1
ENSG00000259700	q21.1
ENSG00000259041	q26.3
ENSG00000259199	q26.3
ENSG00000258799	q11.2
ENSG00000259727	q22.2
ENSG00000276473	q22.2
ENSG00000259616	q22.2
ENSG00000259394	q22.2
ENSG00000259530	q22.2
ENSG00000255529	q21.3
ENSG00000103995	q21.1
ENSG00000259611	q26.3
ENSG00000259266	q26.3
ENSG00000259320	q26.3
ENSG00000177699	q25.1
ENSG00000270356	q11.2
ENSG00000274376	q25.2
ENSG00000259569	q26.1
ENSG00000275645	q24.2
ENSG00000276744	q24.2
ENSG00000241890	q24.2
ENSG00000058335	q25.1
ENSG00000248540	q24.1
ENSG00000259593	q21.1
ENSG00000167178	q24.1
ENSG00000260685	q24.2
ENSG00000259608	q25.3
ENSG00000260758	q25.3
ENSG00000260477	q25.3
ENSG00000183496	q25.2
ENSG00000260916	q21.3
ENSG00000166415	q21.3
ENSG00000140464	q24.1
ENSG00000259838	q15.1
ENSG00000259419	q25.1
ENSG00000166147	q21.1
ENSG00000259234	q25.1
ENSG00000271507	q11.2
ENSG00000140400	q24.2
ENSG00000140497	q24.1
ENSG00000184140	q26.3
ENSG00000235711	q25.1
ENSG00000275175	q26.1
ENSG00000182854	q26.3
ENSG00000277210	q26.3
ENSG00000279445	q11.2
ENSG00000281113	q11.2
ENSG00000134152	q14
ENSG00000232459	q26.3
ENSG00000279694	q25.1
ENSG00000166426	q25.1
ENSG00000274444	q14
ENSG00000259255	q21.1
ENSG00000259509	q21.1
ENSG00000186198	q22.31
ENSG00000277351	q22.31
ENSG00000103710	q22.31
ENSG00000270304	q14
ENSG00000259287	q14
ENSG00000281087	q11.2
ENSG00000276702	q14
ENSG00000183571	q26.3
ENSG00000137878	q21.3
ENSG00000278626	q11.2
ENSG00000260351	q25.2
ENSG00000249487	q26.1
ENSG00000260608	q25.2
ENSG00000259308	q25.2
ENSG00000169609	q25.2
ENSG00000188659	q25.2
ENSG00000166825	q26.1
ENSG00000258384	q26.1
ENSG00000224441	q26.1
ENSG00000259475	q26.3
ENSG00000166946	q15.2
ENSG00000278022	q26.3
ENSG00000261247	q13.2
ENSG00000246283	q15.2
ENSG00000140443	q26.3
ENSG00000140564	q26.1
ENSG00000140553	q26.1
ENSG00000260799	q15.2
ENSG00000258590	q11.2
ENSG00000259330	q15.1
ENSG00000277865	q11.2
ENSG00000235390	q21.1
ENSG00000277500	q13.3
ENSG00000169918	q13.3
ENSG00000259379	q21.3
ENSG00000279628	q11.2
ENSG00000128881	q15.2
ENSG00000274814	q13.1
ENSG00000259358	q13.3
ENSG00000259651	q21.3
ENSG00000259761	q25.3
ENSG00000166035	q21.3
ENSG00000259495	q25.1
ENSG00000234797	q22.2
ENSG00000259601	q22.2
ENSG00000259231	q21.1
ENSG00000259560	q25.3
ENSG00000259527	q25.3
ENSG00000260036	q21.3
ENSG00000277548	q21.3
ENSG00000274765	q21.3
ENSG00000259742	q21.1
ENSG00000261652	q21.3
ENSG00000225973	q21.3
ENSG00000256061	q21.3
ENSG00000271983	q25.1
ENSG00000260892	q24.2
ENSG00000259670	q21.1
ENSG00000259216	q21.1
ENSG00000136379	q25.1
ENSG00000173546	q24.2
ENSG00000281179	q11.2
ENSG00000203392	q24.2
ENSG00000140521	q26.1
ENSG00000260844	q13.1
ENSG00000188549	q15.1
ENSG00000259488	q21.1
ENSG00000259098	q11.2
ENSG00000258732	q11.2
ENSG00000259740	q21.1
ENSG00000259221	q21.1
ENSG00000259554	q21.1
ENSG00000259588	q21.1
ENSG00000259434	q14
ENSG00000243122	q14
ENSG00000225193	q26.1
ENSG00000260660	q24.2
ENSG00000238244	q26.1
ENSG00000279980	q26.1
ENSG00000183060	q26.3
ENSG00000242498	q26.1
ENSG00000276807	q24.1
ENSG00000167202	q25.1
ENSG00000259404	q25.2
ENSG00000138613	q22.2
ENSG00000259489	q26.1
ENSG00000261549	q26.1
ENSG00000259518	q25.2
ENSG00000260275	q26.1
ENSG00000276533	q21.3
ENSG00000261771	q21.3
ENSG00000189227	q23
ENSG00000069943	q21.3
ENSG00000260104	q24.2
ENSG00000140279	q21.1
ENSG00000250021	q26.1
ENSG00000274347	q11.1
ENSG00000188403	q11.1
ENSG00000260123	q26.1
ENSG00000274835	q11.2
ENSG00000259299	q13.1
ENSG00000104059	q13.1
ENSG00000232431	q13.1
ENSG00000167014	q21.1
ENSG00000261775	q24.1
ENSG00000247240	q24.1
ENSG00000256951	q13.1
ENSG00000261649	q13.1
ENSG00000260103	q24.1
ENSG00000259011	q12
ENSG00000258965	q12
ENSG00000258931	q12
ENSG00000206187	q12
ENSG00000259967	q25.1
ENSG00000166734	q15.3
ENSG00000103876	q25.1
ENSG00000166073	q15.1
ENSG00000185115	q13.1
ENSG00000270986	q21.3
ENSG00000259690	q13.1
ENSG00000259250	q21.3
ENSG00000278513	q21.3
ENSG00000258706	q11.1
ENSG00000278090	q26.3
ENSG00000261054	q26.3
ENSG00000182253	q26.3
ENSG00000182625	q21.3
ENSG00000140474	q24.1
ENSG00000140287	q21.2
ENSG00000281550	q11.2
ENSG00000255192	q14
ENSG00000137845	q21.3
ENSG00000259397	q14
ENSG00000259592	q14
ENSG00000259336	q14
ENSG00000259673	q23
ENSG00000261205	q24.2
ENSG00000272887	q25.2
ENSG00000258611	q26.1
ENSG00000260409	q11.2
ENSG00000259677	q26.1
ENSG00000171016	q21.3
ENSG00000259432	q15.1
ENSG00000150667	q14
ENSG00000259644	q13.1
ENSG00000234664	q13.1
ENSG00000261628	q13.2
ENSG00000259523	q13.1
ENSG00000182175	q26.1
ENSG00000235370	q25.2
ENSG00000259388	q21.2
ENSG00000278570	q23
ENSG00000259621	q26.3
ENSG00000260152	q24.2
ENSG00000259675	q22.2
ENSG00000271195	q22.2
ENSG00000259538	q25.2
ENSG00000213471	q26.1
ENSG00000273958	q22.2
ENSG00000273792	q22.2
ENSG00000259481	q22.2
ENSG00000259274	q22.2
ENSG00000259284	q22.2
ENSG00000259482	q22.2
ENSG00000259463	q15.1
ENSG00000259617	q15.1
ENSG00000259521	q15.1
ENSG00000250130	q15.3
ENSG00000259499	q15.3
ENSG00000259595	q15.3
ENSG00000280036	q15.1
ENSG00000259792	q24.3
ENSG00000138621	q24.2
ENSG00000166797	q22.31
ENSG00000259564	q22.2
ENSG00000184508	q26.1
ENSG00000259365	q26.3
ENSG00000261143	q24.3
ENSG00000259513	q22.2
ENSG00000259575	q22.2
ENSG00000259579	q26.3
ENSG00000259586	q26.3
ENSG00000103855	q24.1
ENSG00000214344	q26.3
ENSG00000166206	q12
ENSG00000259182	q26.3
ENSG00000278662	q25.2
ENSG00000080644	q25.1
ENSG00000131873	q26.3
ENSG00000169105	q15.1
ENSG00000259156	q11.1
ENSG00000259337	q11.1
ENSG00000185880	q21.1
ENSG00000069667	q22.2
ENSG00000279421	q25.1
ENSG00000128908	q15.1
ENSG00000041357	q25.1
ENSG00000169684	q25.1
ENSG00000257109	q26.3
ENSG00000137776	q22.1
ENSG00000182054	q26.1
ENSG00000256338	q13.1
ENSG00000259454	q26.3
ENSG00000259646	q26.3
ENSG00000128731	q13.1
ENSG00000137818	q23
ENSG00000138606	q21.1
ENSG00000277741	q25.2
ENSG00000261147	q26.1
ENSG00000271396	q26.1
ENSG00000214433	q26.1
ENSG00000137842	q15.2
ENSG00000270301	q13.1
ENSG00000261377	q13.1
ENSG00000259580	q15.1
ENSG00000261136	q14
ENSG00000138622	q24.1
ENSG00000259565	q24.3
ENSG00000240934	q21.3
ENSG00000274719	q21.3
ENSG00000259626	q21.3
ENSG00000259360	q21.1
ENSG00000259304	q21.1
ENSG00000228998	q26.1
ENSG00000271616	q13.1
ENSG00000275674	q26.1
ENSG00000182768	q26.1
ENSG00000259150	q12
ENSG00000128918	q21.3
ENSG00000259650	q24.1
ENSG00000259490	q11.1
ENSG00000259676	q26.1
ENSG00000103832	q13.2
ENSG00000271232	q23
ENSG00000261762	q25.1
ENSG00000129003	q22.2
ENSG00000128944	q15.1
ENSG00000261043	q24.2
ENSG00000246877	q24.2
ENSG00000260288	q24.2
ENSG00000182950	q24.2
ENSG00000254585	q11.2
ENSG00000261081	q14
ENSG00000260639	q14
ENSG00000175265	q14
ENSG00000260784	q13.2
ENSG00000260815	q24.2
ENSG00000259264	q24.1
ENSG00000188779	q23
ENSG00000177693	q26.3
ENSG00000183909	q26.3
ENSG00000236914	q14
ENSG00000270961	q11.1
ENSG00000140505	q24.1
ENSG00000259443	q11.2
ENSG00000281535	q11.2
ENSG00000259380	q14
ENSG00000166710	q21.1
ENSG00000259383	q11.2
ENSG00000131871	q26.3
ENSG00000275771	q26.3
ENSG00000074696	q22.31
ENSG00000166068	q14
ENSG00000244251	q15.1
ENSG00000275345	q26.1
ENSG00000271364	q25.1
ENSG00000103599	q23
ENSG00000234438	q22.31
ENSG00000104131	q21.1
ENSG00000270322	q26.1
ENSG00000241818	q13.3
ENSG00000259413	q25.1
ENSG00000166922	q13.3
ENSG00000259774	q25.2
ENSG00000128891	q15.1
ENSG00000258461	q15.1
ENSG00000137872	q21.1
ENSG00000140598	q25.2
ENSG00000259845	q13.2
ENSG00000281909	q11.2
ENSG00000271317	q11.1
ENSG00000270783	q11.1
ENSG00000258488	q11.2
ENSG00000274297	q23
ENSG00000259532	q23
ENSG00000271197	q11.1
ENSG00000137831	q23
ENSG00000229389	q13.2
ENSG00000279719	q25.1
ENSG00000261606	q24.1
ENSG00000140506	q24.1
ENSG00000277322	q11.2
ENSG00000259459	q22.2
ENSG00000138600	q21.2
ENSG00000259659	q21.1
ENSG00000261077	q25.3
ENSG00000250825	q26.2
ENSG00000259312	q26.2
ENSG00000140319	q15.1
ENSG00000259932	q21.1
ENSG00000182636	q11.2
ENSG00000278013	q25.2
ENSG00000128463	q14
ENSG00000259547	q15.1
ENSG00000182774	q25.2
ENSG00000279235	q25.1
ENSG00000212550	q21.1
ENSG00000264796	q26.1
ENSG00000278696	q13.2
ENSG00000261708	q13.3
ENSG00000230183	q21.3
ENSG00000206589	q15.3
ENSG00000259410	q23
ENSG00000278568	q21.3
ENSG00000275101	q26.1
ENSG00000104129	q15.1
ENSG00000245719	q23
ENSG00000137868	q24.1
ENSG00000166763	q15.3
ENSG00000223877	q11.2
ENSG00000265317	q22.2
ENSG00000260490	q15.2
ENSG00000265098	q14
ENSG00000207484	q21.2
ENSG00000259636	q25.3
ENSG00000166133	q15.1
ENSG00000273540	q25.3
ENSG00000259890	q13.2
ENSG00000199512	q22.2
ENSG00000252500	q21.1
ENSG00000278422	q25.2
ENSG00000259734	q25.3
ENSG00000260125	q25.3
ENSG00000183629	q13.1
ENSG00000166748	q25.3
ENSG00000242667	q22.2
ENSG00000261333	q21.3
ENSG00000157021	q15.1
ENSG00000228141	q25.2
ENSG00000260053	q13.1
ENSG00000260399	q11.2
ENSG00000134153	q14
ENSG00000259306	q21.2
ENSG00000259204	q21.2
ENSG00000259240	q21.2
ENSG00000183578	q21.2
ENSG00000259474	q25.1
ENSG00000136381	q25.1
ENSG00000258420	q11.2
ENSG00000178741	q24.2
ENSG00000258415	q11.2
ENSG00000274499	q11.2
ENSG00000243094	q14
ENSG00000259089	q11.2
ENSG00000259214	q11.2
ENSG00000259620	q25.3
ENSG00000166140	q15.1
ENSG00000168806	q15.3
ENSG00000259883	q15.1
ENSG00000270500	q14
ENSG00000174171	q15.1
ENSG00000259536	q15.1
